,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward,distance_travelled
0,x,[0. 0. 0.],-4.616290943551576,0.0,-0.04616290943551576,3.32400841055142
1,x,[0.05 0.   0.  ],-14.977836683392525,0.0,-0.14977836683392526,3.8724224512575924
2,x,[0.1 0.  0. ],-59.03433907032013,0.0,-0.5903433907032013,11.304069813273465
3,x,[-0.  0.  0.],-4.616290943551576,0.0,-0.04616290943551576,3.1827523468760828
4,x,[-0.05  0.    0.  ],-4.822213748469949,0.0,-0.04822213748469949,3.8517558393878724
5,x,[-0.1  0.   0. ],-5.968757089227438,0.0,-0.05968757089227438,4.544326253373268
6,z,[0. 0. 0.],-4.616290943551576,0.0,-0.04616290943551576,3.3809400031217023
7,z,[0.   0.   0.05],-12.49335416406393,0.0,-0.1249335416406393,3.2714989451004564
8,z,[0.  0.  0.1],-312.03986321389675,0.0,-3.1203986321389676,4.603723426855422
9,z,[ 0.  0. -0.],-4.616290943551576,0.0,-0.04616290943551576,3.2833851745330223
10,z,[ 0.    0.   -0.05],-9.025217056274414,0.0,-0.09025217056274414,4.661272021194776
11,z,[ 0.   0.  -0.1],-19.183571495115757,0.0,-0.19183571495115756,8.433673045309646
12,xyz,[0. 0. 0.],-4.616290943551576,0.0,-0.04616290943551576,3.543348773171896
13,xyz,[0.025 0.025 0.025],-13.228246659040451,0.0,-0.13228246659040452,3.6008354501301802
14,xyz,[0.05 0.05 0.05],-54.419793367385864,0.0,-0.5441979336738586,8.307198929227575
15,xyz,[-0. -0. -0.],-4.616290943551576,0.0,-0.04616290943551576,3.619017356504723
16,xyz,[-0.025 -0.025 -0.025],-5.5189130790531635,0.0,-0.055189130790531636,4.79856194113482
17,xyz,[-0.05 -0.05 -0.05],-10.61038551479578,0.0,-0.1061038551479578,5.5258653883644495
